Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,Albatrellus_avellaneus,6,0.017
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lasiobelonium,Lasiobelonium_nidulum,6,0.017
Fungi,Aphelidiomycota,Aphelidiomycetes,GS16,unidentified,unidentified,GS16_sp,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_robertsii,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lavendulum,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,Hirsutella_rhossiliensis,6,0.017
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,,,,6,0.017
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Stagonosporopsis,,6,0.017
Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Lysurus,Lysurus_cruciatus,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,6,0.017
Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Kretzschmaria,,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,Mariannaea_samuelsii,6,0.017
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_solicola,5,0.014
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,,5,0.014
Fungi,Ascomycota,Sordariomycetes,Melanosporales,,,,5,0.014
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia_pratensis,5,0.014
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus_doliiformis,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_cyanostomum,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_thelephoricola,5,0.014
Fungi,Ascomycota,Sordariomycetes,Xylariales,Beltraniaceae,Beltrania,Beltrania_pseudorhombica,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria_sp,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,,5,0.014
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_glutinans,5,0.014
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia,Thielavia_fragilis,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella_intricans,5,0.014
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Xepicula,Xepicula_jollymannii,5,0.014
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_diversus,5,0.014
Fungi,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Adelosphaeria,Adelosphaeria_catenata,5,0.014
Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,unidentified,unidentified,Olpidiales_sp,5,0.014
Fungi,Ascomycota,Sordariomycetes,Melanosporales,Melanosporaceae,Melanospora,Melanospora_sp,5,0.014
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_fusiforme,5,0.014
Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,,5,0.014
Fungi,Ascomycota,Leotiomycetes,,,,,5,0.014
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_subinflatus,4,0.011
Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,,4,0.011
Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,,,4,0.011
Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,,4,0.011
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Praetumpfia,Praetumpfia_obducens,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_australis,4,0.011
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_grisea,4,0.011
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria_pseudobassiana,4,0.011
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Pseudotaeniolina,Pseudotaeniolina_globosa,4,0.011
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_versicolor,4,0.011
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia_pseudoamericana,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp,4,0.011
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,,,4,0.011
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema_bandonii,4,0.011
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Aleurina,Aleurina_argentina,4,0.011
Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,,4,0.011
Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,,,4,0.011
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_miniglutinans,4,0.011
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_dominicanum,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrocladiella,Cylindrocladiella_pseudoparva,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_hetheringtonii,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_pseudogelatinosum,4,0.011
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Xenasmataceae,Phlebiella,Phlebiella_sp,4,0.011
Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Idriella,Idriella_lunata,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Zeloasperisporium,,4,0.011
Plantae,Anthophyta,unidentified,unidentified,unidentified,unidentified,Anthophyta_sp,4,0.011
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,unidentified,Pleosporaceae_sp,4,0.011
Fungi,Entomophthoromycota,,,,,,4,0.011
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_favosus,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,4,0.011
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella_sp,4,0.011
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,4,0.011
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Tumularia,Tumularia_sp,4,0.011
Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,,,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_cinnamomeum,3,0.008
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_carnescens,3,0.008
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,Pseudoacrodictys,,3,0.008
Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,Olpidiaceae,Olpidium,Olpidium_sp,3,0.008
Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Arthropsis,Arthropsis_hispanica,3,0.008
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Sagenomella_oligospora,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Massarina,Massarina_bipolaris,3,0.008
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,,3,0.008
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,,,3,0.008
Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Stilbella,Stilbella_byssiseda,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_alternata,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Teichospora_thailandica,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraconiothyrium,Paraconiothyrium_africanum,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,,3,0.008
Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Schizangiella,Schizangiella_sp,3,0.008
Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca_lactea,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,,3,0.008
Metazoa,Cnidaria,unidentified,unidentified,unidentified,unidentified,Cnidaria_sp,3,0.008
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,Minimedusa_polyspora,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,,,3,0.008
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota,Lepiota_himalayensis,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,unidentified,Testudinaceae_sp,3,0.008
Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,Coniocessia_anandra,3,0.008
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_nigrescens,3,0.008
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_austroafricanum,3,0.008
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,Cistella_acuum,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_brasiliense,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_carneum,3,0.008
Fungi,Ascomycota,Sordariomycetes,Xylariales,Bartaliniaceae,,,3,0.008
Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_vestergrenii,3,0.008
Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Chlamydotubeufia,Chlamydotubeufia_khunkornensis,3,0.008
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholosporum,Tricholosporum_sp,3,0.008
Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Schizangiella,Schizangiella_serpentis,3,0.008
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Veronaea,Veronaea_japonica,3,0.008
Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_divergens,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_viride,3,0.008
Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,3,0.008
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_implicatus,3,0.008
Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Phialemoniopsis,Phialemoniopsis_ocularis,3,0.008
Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Bionectria,Bionectria_wenpingii,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Xenoacremonium,Xenoacremonium_recifei,3,0.008
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_gamsii,3,0.008
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Camarosporium,Camarosporium_sp,3,0.008
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,,3,0.008
Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_melanosporum,2,0.006
Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Cytospora,Cytospora_diatrypelloidea,2,0.006
Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium,Conlarium_sp,2,0.006
Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp,2,0.006
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Eucasphaeria,Eucasphaeria_capensis,2,0.006
Fungi,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Pleurotheciella,Pleurotheciella_sp,2,0.006
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_dichotoma,2,0.006
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,,,2,0.006
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,,2,0.006
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_velox,2,0.006
